age,gender,height,weight,body_fat_percentage,Resting_BPM,active_BPM,Exercise
20,M,170,83.8,33.1,105,147,Yoga
29,M,172.8,69.4,21.5,105,99,Golf
21,F,165.1,50,32.4,105,143,Bowling
29,F,163.3,56.5,26.2,105,133,Table Tennis
26,F,171.5,55.3,24.5,104,118,Hiking
21,M,173.3,90.7,31.1,104,123,Tai Bo
25,M,167.8,49.8,21,104,130,Rock Climbing
28,M,177.8,72.7,28.2,104,135,Weightlifting
18,M,171.6,71.2,29.3,104,124,Horseback Riding
33,M,175.4,63.6,22.8,104,130,Bicycle Riding
59,M,157,63.6,22.9,103,132,Dodgeball
18,F,163.4,57.6,36.3,103,139,Football
18,M,179.8,64.9,19.5,103,126,Walking
23,M,166.1,66.7,20.3,103,121,Jogging
20,M,165.8,65.6,20.2,103,107,Treadmill Running
18,M,183.4,82.4,11.6,103,103,Cycling
19,F,167.3,69.1,30.9,102,121,Swimming
18,M,171.4,69.1,12.1,102,115,Dancing
28,F,164.2,49.5,23.4,102,123,Aerobics
21,M,175.2,74.7,17.7,102,129,Gymnastics
41,F,159.6,43.8,15,101,128,Pilates
25,F,161.5,47.9,22,101,132,Yoga
25,F,165.4,66.8,35.8,101,126,Golf
19,F,174.9,64.9,21.4,100,131,Bowling
19,M,175.7,63.3,21.9,100,124,Table Tennis
17,M,175.3,91.1,25,100,154,Hiking
17,F,174.1,62,24.2,100,133,Tai Bo
15,M,182.3,58.9,8.5,100,131,Rock Climbing
26,F,158.3,66.8,37.1,100,123,Weightlifting
30,M,162.7,63.4,27.9,100,120,Horseback Riding
18,F,158,49,25,100,121,Bicycle Riding
18,M,180.4,60.1,10.5,100,120,Dodgeball
18,M,172.2,67.5,19.3,100,123,Football
39,F,149.3,41.4,17.4,100,128,Walking
64,M,180.6,84.3,33.4,100,128,Jogging
61,M,166.8,71.1,21.7,100,122,Treadmill Running
24,M,183,76,20.7,100,139,Cycling
18,M,178.4,87.3,24.3,100,135,Swimming
18,M,175.8,71.4,26.6,100,125,Dancing
57,F,159.6,56.9,27.2,100,126,Aerobics
25,F,164.2,55,24.9,99,120,Gymnastics
25,F,165.3,57.1,32.9,99,121,Pilates
26,M,171.7,67.1,18.3,99,122,Yoga
50,F,156,61,36.7,99,137,Golf
50,F,161.1,47.7,23,99,150,Bowling
18,M,177.7,65.2,14.1,99,105,Table Tennis
25,F,168.3,69.6,32.9,99,130,Hiking
58,F,155.8,57.4,10.6,99,139,Tai Bo
38,F,164.2,51.3,27.7,99,114,Rock Climbing
18,M,160.3,57.9,20.3,99,130,Weightlifting
21,M,177.4,82.7,27.3,99,144,Horseback Riding
20,M,173.3,52.5,7.4,99,139,Bicycle Riding
27,M,170.4,70.5,19.4,99,120,Dodgeball
15,M,174.1,65.7,20.7,99,132,Football
18,M,174.8,67.3,14.9,99,118,Walking
51,F,164.4,68.4,26.3,99,139,Jogging
13,M,163.5,53.1,17.6,99,121,Treadmill Running
22,M,180,76.3,15.8,99,85,Cycling
18,M,168.4,79.58,29.4,99,114,Swimming
18,M,166.1,63.2,26.6,99,121,Dancing
25,M,178.7,85.72,12.3,99,114,Aerobics
18,M,179.8,72.7,18.5,99,128,Gymnastics
55,F,157.5,50.8,31.2,99,139,Pilates
18,M,169.9,45.4,9.6,99,125,Yoga
26,M,174.8,77.4,22.9,99,127,Golf
20,F,158.2,43,18.9,99,124,Bowling
53,M,175.1,64.3,16.8,99,114,Table Tennis
56,M,168.9,70.8,24.3,99,111,Hiking
36,F,165.5,60.9,32.1,99,130,Tai Bo
16,F,170.5,54.6,26.3,98,134,Rock Climbing
22,F,171.6,55.4,31.6,98,126,Weightlifting
15,M,171.6,81,24,98,141,Horseback Riding
32,M,175.7,85.7,29.6,98,115,Bicycle Riding
18,M,184.3,77.9,21.2,98,120,Dodgeball
56,F,162.8,76.9,40.5,98,141,Football
48,F,153.7,44.7,28.7,98,136,Walking
52,F,159.1,63,41.2,98,117,Jogging
17,M,170.5,63.4,18.7,98,121,Treadmill Running
18,M,172.5,54.6,16.1,98,127,Cycling
18,M,167.8,74.3,23.8,98,120,Swimming
20,M,173,69,23.5,98,123,Dancing
22,F,158,43.6,26.5,98,129,Aerobics
18,M,171.3,58.7,15.2,98,128,Gymnastics
54,F,161.3,56.2,26.6,98,146,Pilates
52,F,160.2,51.9,24.9,98,118,Yoga
25,F,155.9,74.5,41.7,98,138,Golf
22,F,170,89.8,37.4,98,121,Bowling
18,M,176.2,86.6,27.7,98,137,Table Tennis
13,M,162.9,57.9,18.7,98,129,Hiking
18,F,157.1,52.5,34,98,140,Tai Bo
23,F,169,67.2,29,98,114,Rock Climbing
22,F,162.7,71.5,33.5,98,133,Weightlifting
59,F,155.7,57.4,33.4,97,102,Horseback Riding
59,F,164,53.4,26.2,97,134,Bicycle Riding
21,F,165.7,65.3,34.5,97,125,Dodgeball
23,F,161.3,67.9,36.5,97,136,Football
15,M,172.4,61.9,17.3,97,133,Walking
21,M,164.8,59.2,15.2,97,114,Jogging
26,M,167,86.1,39,97,128,Treadmill Running
28,M,180.8,79.8,14.9,97,118,Cycling
18,M,167.3,66.6,10.7,97,137,Swimming
14,M,174.2,80.7,33.2,97,130,Dancing
18,M,172.8,110.5,41.1,97,144,Aerobics
18,M,169.6,73.3,12.7,97,103,Gymnastics
62,M,175.4,89.8,35.1,97,114,Pilates
22,M,188,102.2,30.7,97,110,Yoga
18,F,169.9,85.1,37.1,97,138,Golf
59,F,157.8,59,30.2,97,120,Bowling
26,M,182.7,81.3,19.2,97,120,Table Tennis
58,F,158.1,56.6,26.9,97,114,Hiking
18,M,173.4,62,9.1,97,120,Tai Bo
24,M,179.4,82.1,20.7,96,116,Rock Climbing
20,F,171,53.4,19.2,96,130,Weightlifting
18,M,172.2,59,16,96,123,Horseback Riding
39,M,173.1,65,14.4,96,114,Bicycle Riding
18,F,160.1,52.4,26.3,96,119,Dodgeball
20,M,175.3,59.9,10.5,96,112,Football
14,F,159.4,47.1,23.2,96,152,Walking
22,F,160.2,54,32.6,96,123,Jogging
19,M,173.2,67.48,16.5,96,115,Treadmill Running
14,M,165.4,53.2,14.9,96,113,Cycling
56,M,180.6,84.2,23.8,96,122,Swimming
17,M,173.8,64.1,13.7,96,118,Dancing
14,M,161,47.6,16.6,96,136,Aerobics
37,F,153.6,46.9,25.8,96,124,Gymnastics
64,M,168.6,64.4,17.9,96,114,Pilates
62,M,176.9,82,29.1,96,129,Yoga
53,F,158.8,60.4,34.4,96,123,Golf
27,M,180.1,68.2,12.9,96,,Bowling
20,F,165.1,55,31.9,96,124,Table Tennis
59,F,156.5,52.1,33.5,95,124,Hiking
21,F,167.9,61.5,36.1,95,136,Tai Bo
23,F,160.3,52.4,27.2,95,117,Rock Climbing
26,F,174,54,19.7,95,110,Weightlifting
38,F,160,54.5,27.5,95,127,Horseback Riding
63,F,155.6,64.5,41.7,95,127,Bicycle Riding
21,M,179.2,74.8,15.5,95,129,Dodgeball
18,M,172.7,65.9,18.7,95,155,Football
21,M,177.7,74.5,16.2,95,107,Walking
20,M,173.2,71.4,16.7,95,119,Jogging
21,F,159.7,42.38,27,95,115,Treadmill Running
50,F,164,69.6,35.6,95,138,Cycling
22,M,166.1,56.6,16.4,95,118,Swimming
17,M,167.2,76.9,28,95,127,Dancing
15,M,171.9,94.2,35.6,95,116,Aerobics
25,F,161.2,48.3,19.3,95,124,Gymnastics
18,M,171.7,77,29.3,95,115,Pilates
18,M,173.5,90.8,33.7,95,131,Yoga
18,M,170.6,60.6,17.9,95,115,Golf
18,M,174.7,72.4,17.8,95,118,Bowling
15,M,176.6,64.7,19.7,95,116,Table Tennis
24,F,175.1,98.7,40.9,95,131,Hiking
18,F,157,80.6,48.4,95,153,Tai Bo
18,F,176.4,76,22.2,95,123,Rock Climbing
18,M,168.4,50.5,5.5,95,123,Weightlifting
18,M,178.8,66.7,18.7,95,148,Horseback Riding
18,M,177.1,98,29.8,94,119,Bicycle Riding
25,F,166,50.2,26,94,126,Dodgeball
16,F,170.3,70.9,35.9,94,150,Football
23,F,168.4,50.8,24.9,94,121,Walking
44,M,184,85.8,25.1,94,119,Jogging
18,M,174.5,86.3,26.7,94,144,Treadmill Running
15,M,172.3,93.8,34.5,94,130,Cycling
32,F,167,51.1,19.7,94,135,Swimming
17,F,165.1,77,35,94,140,Dancing
21,M,180.2,87,25.2,94,132,Aerobics
20,M,180.6,67.9,12.1,94,121,Gymnastics
24,M,174.4,61.5,16.3,94,114,Pilates
19,M,170.7,68.9,12.6,94,109,Yoga
21,M,166.2,69.6,17.3,94,119,Golf
22,M,171,68.3,20,94,129,Bowling
20,F,163.7,52.3,32.5,94,150,Table Tennis
18,F,164.1,59.4,30.9,94,135,Hiking
39,M,168.2,70,13.9,94,108,Tai Bo
52,M,173.9,68.5,22.7,94,123,Rock Climbing
14,M,171.1,58.2,15.1,94,113,Weightlifting
29,M,167.2,83.78,33.7,94,120,Horseback Riding
64,M,169.1,84.4,38.6,94,123,Bicycle Riding
25,M,163,81.7,31.6,94,113,Dodgeball
60,F,153.3,51.1,27.9,94,161,Football
62,M,168.8,63.9,21.7,94,87,Walking
18,M,172.5,55.5,11.3,94,120,Jogging
30,F,172.8,77.2,32.1,94,115,Treadmill Running
50,F,160.5,54.5,24.7,93,110,Cycling
24,F,167,57.9,23.7,93,115,Swimming
34,M,175,87.8,32.1,93,110,Dancing
62,M,169.8,71.8,22,93,105,Aerobics
18,M,169.3,57.5,12.2,93,113,Gymnastics
27,M,175,53.3,7.7,93,125,Pilates
18,M,171.2,70.4,26,93,141,Yoga
26,M,173.7,65,10.7,93,110,Golf
19,M,169,66.6,16.1,93,118,Bowling
18,F,154.3,58.3,38.8,93,115,Table Tennis
63,M,165.7,76.9,30,93,125,Hiking
21,F,158.1,59.3,34.6,93,123,Tai Bo
22,M,180.8,94.4,33,93,129,Rock Climbing
25,F,165.5,47.2,23.4,93,118,Weightlifting
61,M,166.4,72.3,22.6,93,119,Horseback Riding
61,M,173.6,77,27.9,93,131,Bicycle Riding
18,M,170.6,59.9,10.6,93,110,Dodgeball
64,M,165,85.8,37.6,93,91,Football
29,F,160.8,64.3,38.3,93,126,Walking
38,M,171.2,76.4,28.2,92,119,Jogging
24,F,165.4,55.4,24.1,92,79,Treadmill Running
26,M,175.9,77.8,27.8,92,114,Cycling
34,F,158.5,55.4,32.9,92,138,Swimming
64,F,156.2,66.5,35.8,92,124,Dancing
17,M,176.4,68.3,15.9,92,133,Aerobics
19,M,178.2,62.4,16.6,92,112,Gymnastics
21,F,160,64.3,35.2,92,121,Pilates
21,F,166.4,53.8,24,92,138,Yoga
20,M,183.4,92.7,23.2,92,114,Golf
33,F,160.4,46.9,22.5,92,95,Bowling
26,F,158.9,63.5,38.5,92,127,Table Tennis
48,M,166.7,68.2,21.5,92,117,Hiking
17,M,170.6,88.2,31.2,92,109,Tai Bo
21,F,168.1,55.66,23.5,92,82,Rock Climbing
20,F,157.2,62.1,38.3,91,125,Weightlifting
22,M,169.4,64.7,23.5,91,121,Horseback Riding
35,M,177.6,99,38.5,91,110,Bicycle Riding
18,F,161.6,56,22.3,91,128,Dodgeball
19,M,173.3,83.8,30.3,91,123,Football
23,M,175.4,80,24.8,91,112,Walking
28,F,159.9,69.1,39.8,91,113,Jogging
21,F,158.4,73.8,40.7,91,119,Treadmill Running
18,M,175.7,88.9,25.4,91,126,Cycling
61,F,150,42.7,24.7,91,122,Swimming
19,M,174.4,67.4,15.3,91,103,Dancing
18,M,168.2,62.7,17.1,91,125,Aerobics
25,F,175.2,60.5,24,91,115,Gymnastics
18,M,176.7,85.1,23.8,91,131,Pilates
19,M,171.1,63.9,12.7,91,110,Yoga
62,F,162.5,71,41.5,91,115,Golf
42,M,173.6,74.3,14.1,91,123,Bowling
23,F,166,50.8,25.2,90,132,Table Tennis
56,F,154.6,54.5,32.7,90,112,Hiking
24,M,174.3,83,22.7,90,110,Tai Bo
23,F,171.2,57.4,27.4,90,120,Rock Climbing
21,M,173,63.7,15.4,90,104,Weightlifting
33,M,178.8,85.4,20.6,90,107,Horseback Riding
25,M,175.3,77.8,15.7,90,129,Bicycle Riding
18,M,180.2,71.8,12.3,90,141,Dodgeball
30,F,173.7,72.7,29.2,90,114,Football
56,F,153.8,56.4,36.3,90,135,Walking
21,M,170.6,84.5,27.2,90,115,Jogging
19,M,177.8,76.6,24.7,90,109,Treadmill Running
17,M,179.2,102.4,28.9,90,119,Cycling
19,M,186.9,92.7,20,90,132,Swimming
38,F,162.8,55.5,25.5,90,122,Dancing
37,F,156.3,56.2,33.4,90,124,Aerobics
18,F,159.3,46.8,24.9,90,158,Gymnastics
20,M,177.7,81.5,17.5,90,124,Pilates
18,M,169.4,73.3,22.8,90,120,Yoga
64,M,161.9,67.9,27.6,90,111,Golf
18,M,174.5,69.4,17,90,113,Bowling
30,F,167.1,57.7,21.3,90,120,Table Tennis
62,M,169.5,73.7,26.4,90,119,Hiking
21,M,165,73.5,22.7,90,109,Tai Bo
42,F,158.4,52.9,24.6,90,114,Rock Climbing
29,M,174.2,82.7,27.5,90,118,Weightlifting
18,F,164.6,65.1,31.5,89,108,Horseback Riding
22,M,175.2,60.6,20.7,89,110,Bicycle Riding
41,F,162.4,71.3,42,89,136,Dodgeball
52,F,162.3,66.4,37.8,89,124,Football
53,F,151.5,67.3,36.7,89,123,Walking
30,M,162.1,57.5,18.1,89,108,Jogging
28,F,154.8,53,32.7,89,122,Treadmill Running
31,M,181.4,77.2,14,89,100,Cycling
59,M,163.8,72.3,35.4,89,98,Swimming
41,M,164.9,67,22.3,89,120,Dancing
19,M,173.3,92.1,31.8,89,121,Aerobics
31,M,184.4,69.4,25.2,89,115,Gymnastics
26,F,164.2,66.5,38.5,89,125,Pilates
52,M,174.2,100.3,35.2,89,108,Yoga
18,M,182.7,89.9,24.8,89,129,Golf
59,F,152.3,60.1,33,89,119,Bowling
20,F,158.9,51.3,29.4,89,127,Table Tennis
60,M,177.5,56.7,8.4,89,90,Hiking
61,M,172,75.8,29.7,89,116,Tai Bo
52,F,151.2,71,46.5,89,114,Rock Climbing
22,M,175.9,74.8,16.6,89,105,Weightlifting
41,F,163,49.5,19.4,89,120,Horseback Riding
18,M,175.4,88.8,26.8,89,124,Bicycle Riding
29,F,161,50.4,26.4,89,120,Dodgeball
56,F,151.1,61.6,40.7,88,119,Football
19,M,178.5,68.7,18.2,88,114,Walking
23,F,163.3,51.5,31.3,88,130,Jogging
20,F,168.5,56.9,27.1,88,139,Treadmill Running
24,F,160.8,51.3,26.6,88,123,Cycling
33,M,177.1,78.9,22.2,88,110,Swimming
52,F,155.5,62.7,39.1,88,132,Dancing
17,M,175.6,81.8,29.6,88,121,Aerobics
32,F,168.6,57.3,28.1,88,128,Gymnastics
18,M,175.3,66.3,12,88,125,Pilates
18,M,164.8,67.82,25.5,88,121,Yoga
23,F,166.9,54.1,31.2,88,135,Golf
22,M,190.7,85.8,17.9,88,127,Bowling
53,F,162.3,64.3,35.2,88,123,Table Tennis
26,F,168.7,64,28,88,124,Hiking
60,F,157,58.1,33.7,88,114,Tai Bo
14,M,168.9,74.9,33.5,88,113,Rock Climbing
63,F,159.2,53,27.6,88,72,Weightlifting
62,F,158,54.4,30.6,88,113,Horseback Riding
22,F,157.3,46.2,27.5,88,116,Bicycle Riding
42,F,159,51.4,25.5,88,119,Dodgeball
18,M,180,100.2,27.6,87,113,Football
62,F,155.7,56.4,24.2,87,114,Walking
28,F,158.6,42.6,19.4,87,113,Jogging
18,M,171.4,64.2,25.4,87,116,Treadmill Running
53,F,158.7,56.1,26.9,87,119,Cycling
62,F,155,58.4,34,87,108,Swimming
15,M,167.5,43,6.5,87,88,Dancing
14,M,168.2,70.7,17.1,87,117,Aerobics
19,M,173.4,90.3,19.9,87,117,Gymnastics
14,M,169.1,71.4,22.6,87,131,Pilates
42,F,163.4,71.2,35.7,87,112,Yoga
20,F,150.3,47.2,30.3,87,119,Golf
18,F,161.4,63.4,34.2,87,124,Bowling
56,M,177.4,76.2,18.2,87,109,Table Tennis
31,M,175.3,77.1,25.2,87,116,Hiking
20,M,175.9,60.4,17.3,87,108,Tai Bo
55,F,165.4,56.16,23.8,87,111,Rock Climbing
58,F,153.1,54.8,34.2,87,164,Weightlifting
61,M,172.5,64.6,13.6,86,101,Horseback Riding
54,F,167,66.3,38.8,86,95,Bicycle Riding
60,M,164.9,85.7,33.8,86,105,Dodgeball
23,F,166.3,58.1,23.7,86,109,Football
26,M,171.5,72.5,13.9,86,103,Walking
25,F,160.3,57.4,30.8,86,104,Jogging
26,M,172.7,80,32.8,86,119,Treadmill Running
18,M,167.4,68.3,18.7,86,110,Cycling
49,F,157.1,57.9,28.7,86,105,Swimming
19,M,174,81.7,19.3,86,122,Dancing
26,M,176.1,90.8,27.6,86,138,Aerobics
56,M,162.4,75.7,28.9,86,107,Gymnastics
18,M,176.8,78.1,27.9,86,125,Pilates
19,M,177.8,79.2,13.1,86,110,Yoga
59,F,154.6,54.7,32.5,86,105,Golf
25,M,175.8,82.6,22.4,86,107,Bowling
26,M,173.4,72.5,10.8,86,,Table Tennis
56,F,153.8,58.3,39.1,86,112,Hiking
30,F,159.9,58,34.7,85,103,Tai Bo
18,M,191.6,100.8,22.2,85,108,Rock Climbing
58,M,164.4,79.3,29.9,85,109,Weightlifting
25,F,175.6,63.3,31.5,85,125,Horseback Riding
15,M,178.3,81.54,33.9,85,141,Bicycle Riding
61,M,175.5,69.1,21.4,85,96,Dodgeball
24,F,155,45.5,28.3,85,117,Football
64,M,169.4,64.1,23,85,137,Walking
18,M,181.4,74.9,17.6,85,129,Jogging
58,M,154.1,58.8,25.9,85,109,Treadmill Running
22,F,155.4,49.5,32.4,85,123,Cycling
20,M,181.5,81.2,28.6,85,125,Swimming
43,M,177.9,80.8,23.5,85,123,Dancing
17,M,173,96.2,28.2,85,117,Aerobics
15,M,162.7,56.1,13.1,85,109,Gymnastics
21,F,170.2,60.9,32.4,85,143,Pilates
31,M,190.3,89.62,8.6,85,111,Yoga
34,M,174.7,72.4,20.7,85,98,Golf
23,F,171,70.8,31.2,85,122,Bowling
62,M,170.1,69.2,22.9,85,101,Table Tennis
22,F,162.8,60.7,26.8,85,129,Hiking
23,F,152.6,43.5,27,85,120,Tai Bo
62,F,155.6,60,38.3,85,143,Rock Climbing
58,F,156.8,60.3,32.7,85,130,Weightlifting
27,M,167,60.7,16.9,85,104,Horseback Riding
19,M,185.4,96.6,26,85,124,Bicycle Riding
37,F,165.1,65.2,35.2,85,124,Dodgeball
28,F,154.6,45.9,27.8,85,119,Football
19,F,165.3,53.4,29.5,84,111,Walking
17,M,180.3,71,8.1,84,116,Jogging
26,F,169.1,65.2,31.7,84,119,Treadmill Running
27,F,153.7,47.2,24.3,84,130,Cycling
18,F,161.8,49.5,27.5,84,119,Swimming
42,F,164.4,55.5,23,84,108,Dancing
23,M,173.8,70.5,17.9,84,104,Aerobics
19,M,186.2,75.1,13.5,84,136,Gymnastics
18,M,181.5,96.9,25.8,84,110,Pilates
19,F,164,62.8,31.6,84,121,Yoga
19,F,163.2,82.8,38.8,84,119,Golf
22,M,185.6,87.6,19.1,84,110,Bowling
26,M,175.9,72.2,21.5,84,114,Table Tennis
18,M,179.9,97.78,28.9,84,104,Hiking
39,M,170,89.2,23.9,84,104,Tai Bo
30,F,160.2,65.9,26.4,84,114,Rock Climbing
18,M,178.9,74.5,22.7,84,117,Weightlifting
48,F,161.3,60.6,36.8,84,129,Horseback Riding
59,F,147.5,56.1,40.9,84,120,Bicycle Riding
18,M,166.2,53.4,15.5,84,110,Dodgeball
18,M,171.3,62.2,14.8,84,84,Football
39,M,169,76.6,24.7,83,109,Walking
19,M,168.5,71.3,18.1,83,113,Jogging
18,F,152.8,42.7,23.2,83,115,Treadmill Running
24,F,162.5,49.1,22,83,115,Cycling
47,F,160.3,65.3,42.5,83,128,Swimming
37,F,170.9,68.1,23.1,83,116,Dancing
62,F,158.8,49.9,25.6,83,125,Aerobics
17,M,174.9,75.5,27.7,83,111,Gymnastics
63,F,156.2,47.7,23,83,110,Pilates
13,F,158.1,67.4,37,83,144,Yoga
22,M,179,80.9,18.7,83,128,Golf
63,F,162.7,61.5,32,83,110,Bowling
15,M,168.5,48.2,14.5,83,125,Table Tennis
32,M,173.5,78.5,24.4,83,112,Hiking
62,F,153,43.3,24,83,112,Tai Bo
18,M,175.7,70.2,10.4,83,109,Rock Climbing
18,F,155.7,62.6,37.7,83,134,Weightlifting
20,F,164.2,52.5,21,83,116,Horseback Riding
33,M,164.4,67.8,24.8,83,113,Bicycle Riding
24,M,181.4,97.7,20.3,82,111,Dodgeball
24,F,169,55.4,23.6,82,100,Football
17,M,177.1,69.9,19.5,82,120,Walking
18,M,186.3,112.7,29.8,82,101,Jogging
62,F,147,55.6,33.8,82,109,Treadmill Running
24,F,164.8,62.8,27.2,82,115,Cycling
18,M,175.8,69.4,18.5,82,100,Swimming
27,F,155.3,53,42.6,82,144,Dancing
63,M,177,78.8,21.1,82,120,Aerobics
35,F,152.6,48.6,33.7,82,125,Gymnastics
19,F,160,57.5,39.7,82,103,Pilates
62,M,172.9,70.9,20.9,82,110,Yoga
64,F,146.8,58.3,36.8,82,110,Golf
19,M,171.9,72.7,26.1,82,113,Bowling
25,M,177.7,89.6,25.1,82,105,Table Tennis
25,F,167.4,54.2,23.1,82,127,Hiking
23,M,174,63.7,22.1,81,116,Tai Bo
64,F,152.2,53.4,32.2,81,102,Rock Climbing
48,F,167.5,65.9,27.3,81,81,Weightlifting
40,F,155.3,63.8,40.2,81,126,Horseback Riding
64,M,163.9,63.5,16.8,81,122,Bicycle Riding
18,M,187.4,90.5,21.2,81,107,Dodgeball
24,F,163.6,68.1,33.4,81,92,Football
18,M,173.7,69,18.9,81,120,Walking
27,M,172.1,64.4,16.3,81,113,Jogging
33,M,182.5,82.7,19,81,97,Treadmill Running
27,F,158.7,45.3,23.5,81,136,Cycling
42,M,169.2,55.1,12.2,81,108,Swimming
17,M,177.6,82.1,21.1,81,131,Dancing
56,F,157.7,55.2,20.1,81,114,Aerobics
64,M,169,78.7,24.8,81,109,Gymnastics
49,F,158.9,54.2,23.7,81,111,Pilates
17,M,171.9,74.4,24.1,80,105,Yoga
62,M,165,67.1,27.7,80,102,Golf
59,F,155.9,58.6,33.9,80,131,Bowling
22,F,161.6,65.6,30.4,80,99,Table Tennis
19,M,171.9,67.5,21.2,80,126,Hiking
32,F,164.5,53.9,25.5,80,114,Tai Bo
48,F,163.1,57.9,26.1,80,117,Rock Climbing
24,M,170,82.4,25.1,80,119,Weightlifting
18,M,177.9,82.5,20.6,80,133,Horseback Riding
18,M,179.7,78,18,80,106,Bicycle Riding
61,F,153.3,54.1,42,80,126,Dodgeball
18,M,173.1,71.4,11.1,80,94,Football
37,M,170.2,70.8,28,80,120,Walking
56,M,179.5,96.88,28.9,80,107,Jogging
60,M,170.5,74.9,25.5,80,94,Treadmill Running
18,F,158,76.2,39.9,80,144,Cycling
60,F,153.7,61.2,37.2,80,123,Swimming
63,F,143.8,45.9,38.5,80,111,Dancing
59,F,157,58.5,35.2,80,109,Aerobics
23,F,152,60.9,34,80,118,Gymnastics
26,M,169,66.2,11.6,80,,Pilates
58,F,160.6,73.7,42.5,80,56,Yoga
39,M,185.2,88.1,23.2,80,108,Golf
62,F,168.3,74,31.8,79,146,Bowling
23,F,161.3,59.3,32.5,79,113,Table Tennis
18,F,162.9,58.1,30.2,79,114,Hiking
20,M,180.7,74.8,15,79,109,Tai Bo
18,M,174.6,64.2,8.7,79,101,Rock Climbing
19,M,166.3,86.4,36.4,79,107,Weightlifting
19,M,168.2,68.7,15,79,90,Horseback Riding
28,M,176.4,93.4,33.3,79,124,Bicycle Riding
19,M,175.6,76.4,23.8,79,101,Dodgeball
18,M,169.1,77.8,24.4,79,105,Football
62,M,167.5,80.3,24.9,79,92,Walking
29,M,180.1,78.1,15.5,79,100,Jogging
18,M,184.1,77.6,11.8,79,107,Treadmill Running
62,F,160.6,79.6,49.7,78,119,Cycling
17,M,174.7,64.4,14.5,78,129,Swimming
50,F,151.1,63.6,31.5,78,108,Dancing
59,M,162.8,76.2,21.8,78,94,Aerobics
19,M,179.5,65.3,15,78,106,Gymnastics
30,F,161.1,46.4,24.1,78,101,Pilates
20,M,180.2,58.8,6.2,78,99,Yoga
18,M,162.4,67.24,19.1,78,115,Golf
15,M,160.6,87.8,41.8,78,97,Bowling
40,F,182.1,105.4,38.5,78,99,Table Tennis
20,M,173.7,79.2,23.7,78,106,Hiking
46,F,162.7,53.9,22.1,78,104,Tai Bo
43,M,177.5,83.1,22.8,78,92,Rock Climbing
24,F,162.6,79.6,45.5,78,118,Weightlifting
28,F,162,68.6,30.6,78,124,Horseback Riding
18,F,163.8,55.4,26.1,78,121,Bicycle Riding
25,F,169.7,50.3,27,77,95,Dodgeball
26,F,161.5,52.6,20.4,77,139,Football
15,M,174,69.7,23.8,77,115,Walking
26,M,182.6,78.3,21.2,77,97,Jogging
50,F,161.8,53.8,26.3,77,119,Treadmill Running
45,M,176.3,83.1,29,77,126,Cycling
